session_id,user_agent_type,label,char,flight_time,is_error,sequence_idx,flight_time_var,flight_time_norm
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,T,0,0,0,0.0,-0.7972859975110633
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,h,185,0,1,0.0,-0.1913517376786368
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,e,137,0,2,0.0,-0.3485671132027258
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0, ,208,0,3,0.0,-0.1160193702400108
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,s,399,0,4,20712.699999999997,0.5095668115329268
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,u,107,0,5,13062.199999999997,-0.4468267229052815
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,n,182,0,6,13097.299999999996,-0.20117769864889237
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,l,188,0,7,11842.699999999997,-0.18152577670838124
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,i,191,0,8,11975.299999999996,-0.17169981573812568
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,g,68,0,9,3170.699999999996,-0.5745642155186038
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,h,150,0,10,2676.199999999996,-0.3059879489982851
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,t,106,0,11,2835.7999999999965,-0.4501020432287
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0, ,200,0,12,3148.9999999999964,-0.14222193282735898
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,f,554,0,13,38214.79999999999,1.0172414616627978
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,i,80,0,14,37357.999999999985,-0.5352603716375816
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,l,189,0,15,36336.19999999998,-0.1782504563849627
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,t,104,0,16,36456.79999999998,-0.4566526838755371
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,e,265,0,17,36476.29999999998,0.07067388819484495
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,r,182,0,18,5451.499999999978,-0.20117769864889237
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,e,177,0,19,3259.2999999999784,-0.21755430026598496
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,d,184,0,20,3250.2999999999784,-0.19462705800205532
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0, ,170,0,21,1534.2999999999781,-0.24048154252991463
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,t,1133,0,22,182338.69999999995,2.913651928922122
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,h,106,0,23,190607.49999999994,-0.4501020432287
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,r,98,0,24,198847.19999999995,-0.4763046058160482
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,o,131,0,25,203495.29999999993,-0.368219035143237
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,u,181,0,26,202652.69999999995,-0.20445301897231088
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,g,125,0,27,1052.6999999999418,-0.38787095708374814
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,h,119,0,28,942.199999999942,-0.40752287902425927
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0, ,389,0,29,13105.999999999942,0.47681360829874164
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,t,164,0,30,12366.799999999941,-0.26013346447042573
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,h,101,0,31,14230.799999999941,-0.46647864484579266
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,e,161,0,32,13507.199999999943,-0.2699594254406813
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0, ,177,0,33,12213.799999999941,-0.21755430026598496
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,l,815,0,34,89106.79999999994,1.872100066075032
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,e,98,0,35,93924.79999999994,-0.4763046058160482
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,a,226,0,36,86462.29999999994,-0.0570636044184774
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,v,112,0,37,90235.29999999994,-0.4304501212881889
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,e,134,0,38,92939.99999999994,-0.3583930741729814
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,s,205,0,39,3269.999999999942,-0.12584533121026636
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0, ,178,0,40,2269.999999999942,-0.21427897994256645
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,Backspace,911,0,41,114952.49999999994,2.18653081712321
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,Backspace,187,0,42,108727.49999999994,-0.18480109703179975
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,Backspace,542,0,43,103464.29999999994,0.9779376177817755
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,s,2000,0,44,568728.3,5.75335464932598
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,",",401,0,45,513379.70000000007,0.5161174521797639
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0, ,181,0,46,582437.7000000001,-0.20445301897231088
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,p,523,0,47,525183.3,0.9157065316368236
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,a,128,0,48,598254.3,-0.37804499611349257
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,i,96,0,49,34860.7,-0.48285524646288525
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,n,184,0,50,29609.299999999996,-0.19462705800205532
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,t,107,0,51,32236.299999999996,-0.4468267229052815
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,i,107,0,52,1244.2999999999963,-0.4468267229052815
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,n,163,0,53,1552.2999999999963,-0.2634087847938443
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,g,93,0,54,1607.1999999999966,-0.4926812074331408
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0, ,171,0,55,1295.1999999999966,-0.2372062222064961
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,t,323,0,56,8336.799999999994,0.2606424669531192
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,h,93,0,57,8826.799999999996,-0.4926812074331408
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,e,145,0,58,8941.999999999996,-0.32236455061537767
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0, ,115,0,59,8246.799999999996,-0.4206241603179333
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,f,290,0,60,11174.199999999993,0.152556896280308
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,o,105,0,61,6530.799999999998,-0.45337736355211855
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,r,118,0,62,5948.299999999997,-0.41079819934767775
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,e,169,0,63,5948.299999999997,-0.24375686285333314
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,s,142,0,64,5494.699999999997,-0.33219051158563323
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,t,42,0,65,2270.700000000002,-0.6597225439274854
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0, ,341,0,66,12206.299999999997,0.3195982327746526
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,f,2000,0,67,678810.7,5.75335464932598
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,l,260,0,68,663640.9999999999,0.05429728657775234
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,o,255,0,69,642747.2999999999,0.03792068496065973
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,o,182,0,70,609035.2999999999,-0.20117769864889237
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,r,261,0,71,620979.2999999999,0.05757260690117086
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0, ,268,0,72,1269.7000000001144,0.08049984916510051
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,i,1385,0,73,262719.7,3.7390326504235896
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,i,509,0,74,248292.5,0.8698520471089642
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,i,505,0,75,214409.79999999996,0.8567507658152902
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,i,497,0,76,187246.19999999995,0.830548203227942
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,i,182,0,77,204411.79999999996,-0.20117769864889237
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,i,209,0,78,28599.800000000047,-0.11274404991659227
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,d,195,0,79,28128.80000000007,-0.15859853444445157
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,j,224,0,80,17591.300000000087,-0.06361424506531445
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,f,179,0,81,355.70000000011066,-0.21100365961914794
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,j,177,0,82,400.200000000111,-0.21755430026598496
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,j,307,0,83,2918.800000000104,0.20823734177842287
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,f,324,0,84,4866.700000000095,0.26391778727653775
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,j,164,0,85,6132.700000000099,-0.26013346447042573
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,j,269,0,86,5448.700000000093,0.08377516948851904
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,j,193,0,87,4930.300000000092,-0.16514917509128862
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,f,212,0,88,4094.300000000099,-0.10291808894633671
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,j,300,0,89,3110.3000000001007,0.1853100995144932
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,j,195,0,90,2316.7000000000985,-0.15859853444445157
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,j,212,0,91,1963.3000000001023,-0.10291808894633671
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,f,210,0,92,1771.2000000001008,-0.10946872959317375
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,j,204,0,93,1839.2000000001012,-0.12912065153368488
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,j,164,0,94,384.00000000011045,-0.26013346447042573
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,h,204,0,95,391.20000000010987,-0.12912065153368488
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,g,141,0,96,930.8000000001147,-0.33546583190905177
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,r,177,0,97,729.500000000117,-0.21755430026598496
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,h,252,0,98,1814.3000000001139,0.028094723990404167
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,h,256,0,99,2421.5000000001073,0.041196005284078255
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,h,197,0,100,2438.300000000108,-0.15204789379761455
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,e,192,0,101,1336.7000000001044,-0.16842449541470714
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,h,59,0,102,6351.700000000112,-0.6040420984293705
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,h,294,0,103,7981.300000000108,0.16565817757398207
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0, ,1923,0,104,610768.5,5.5011549844227545
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,u,2000,0,105,958026.2999999999,5.75335464932598
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,j,491,0,106,871017.2999999999,0.8108962812874309
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,j,381,0,107,747755.6999999998,0.4506110457113935
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,r,93,0,108,828577.7999999998,-0.4926812074331408
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,j,175,0,109,613399.0,-0.22410494091282201
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,r,154,0,110,28586.200000000248,-0.29288666770461097
37f40495-6cbb-4ebd-bd53-268c9cc2a261,mobile,0,i,139,0,111,12499.800000000287,-0.3420164725558888
